============================================================
  Model #17  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 21:54:30
============================================================
[21:54:31] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[21:54:59] TRAIN  Step 1,000/100,000 (1.0%) | FPS 942
[21:55:00] TRAIN  Step 2,000/100,000 (2.0%) | FPS 1365
[21:55:00] TRAIN  Step 3,000/100,000 (3.0%) | FPS 1570
[21:55:01] TRAIN  Step 4,000/100,000 (4.0%) | FPS 1640
[21:55:01] TRAIN  Step 4,096/100,000 (4.1%) | FPS 1651
[21:55:02] TRAIN  Step 5,000/100,000 (5.0%) | FPS 1294
[21:55:03] TRAIN  Step 6,000/100,000 (6.0%) | FPS 1373
[21:55:03] TRAIN  Step 7,000/100,000 (7.0%) | FPS 1463
[21:55:04] TRAIN  Step 8,000/100,000 (8.0%) | FPS 1523
[21:55:04] TRAIN  Step 8,192/100,000 (8.2%) | Loss 429.924866 | FPS 1536
[21:55:05] TRAIN  Step 9,000/100,000 (9.0%) | FPS 1328
[21:55:06] TRAIN  Step 10,000/100,000 (10.0%) | FPS 1390
[21:55:06] TRAIN  Step 11,000/100,000 (11.0%) | FPS 1446
[21:55:06] TRAIN  Step 12,000/100,000 (12.0%) | FPS 1501
[21:55:06] TRAIN  Step 12,288/100,000 (12.3%) | Loss 345.158234 | FPS 1515
[21:55:07] TRAIN  Step 13,000/100,000 (13.0%) | FPS 1434
[21:55:08] TRAIN  Step 14,000/100,000 (14.0%) | FPS 1464
[21:55:08] TRAIN  Step 15,000/100,000 (15.0%) | FPS 1497
[21:55:09] TRAIN  Step 16,000/100,000 (16.0%) | FPS 1532
[21:55:09] TRAIN  Step 16,384/100,000 (16.4%) | Loss 713.286926 | FPS 1541
[21:55:10] TRAIN  Step 17,000/100,000 (17.0%) | FPS 1481
[21:55:10] TRAIN  Step 18,000/100,000 (18.0%) | FPS 1515
[21:55:11] TRAIN  Step 19,000/100,000 (19.0%) | FPS 1538
[21:55:11] TRAIN  Step 20,000/100,000 (20.0%) | FPS 1553
